Type		Date    Hour	min_ask	  max_ask	avg_ask      min_bid	max_bid    avg_bid	direction(label)
EUR/USD		20150108 1	1.18258	  1.1841       1.18313      1.18251	1.18404	   1.18308	   -1
EUR/USD		20150108 2	1.18191	  1.18275       1.18241      1.18187	1.1827	   1.18236	   -1
EUR/USD		20150108 3	1.18175	  1.18319       1.18252      1.18172	1.18313	   1.18247	   1
EUR/USD		20150108 4	1.18211	  1.18296       1.18264      1.18204	1.1829	   1.18258	   1
EUR/USD		20150108 5	1.18175	  1.18271       1.18227      1.18169	1.18265	   1.18222	   -1
EUR/USD		20150108 6	1.18182	  1.18245       1.18211      1.18177	1.18239	   1.18205	   -1
EUR/USD		20150108 7	1.1804	  1.18232       1.18127      1.18035	1.18213	   1.18122	   -1
EUR/USD		20150108 8	1.17922	  1.18231       1.18122      1.17917	1.18226	   1.18118	   -1
EUR/USD		20150108 9	1.17806	  1.18081       1.17969      1.17797	1.18079	   1.17965	   -1
EUR/USD		20150108 10	1.17628	  1.17866       1.17725      1.17622	1.17861	   1.17720	   -1
EUR/USD		20150108 11	1.1764	  1.17756       1.17700      1.17636	1.1775	   1.17696	   -1
EUR/USD		20150108 12	1.17545	  1.17796       1.17657      1.17539	1.17791	   1.17652	   -1
EUR/USD		20150108 13	1.1762	  1.17891       1.17744      1.17615	1.17888	   1.17740	   1
EUR/USD		20150108 14	1.17796	  1.17991       1.17874      1.17794	1.17987	   1.17871	   1
EUR/USD		20150108 15	1.17728	  1.17987       1.17887      1.17719	1.17983	   1.17882	   1
EUR/USD		20150108 16	1.17914	  1.18149       1.18024      1.17911	1.18146	   1.18020	   1
EUR/USD		20150108 17	1.18035	  1.18197       1.18117      1.1803	1.18191	   1.18113	   1
EUR/USD		20150108 18	1.17966	  1.18178       1.18050      1.17961	1.18171	   1.18045	   -1
EUR/USD		20150108 19	1.17805	  1.18005       1.17873      1.178	1.17998	   1.17868	   -1
EUR/USD		20150108 20	1.17835	  1.17917       1.17879      1.17831	1.17915	   1.17876	   1
EUR/USD		20150108 21	1.17884	  1.17969       1.17936      1.1788	1.17966	   1.17930	   1
EUR/USD		20150108 22	1.17875	  1.17953       1.17921      1.17861	1.17939	   1.17908	   -1
EUR/USD		20150109 23	1.17873	  1.17948       1.17916      1.17863	1.17939	   1.17907	   -1
EUR/USD		20150109 0	1.17904	  1.17973       1.17937      1.179	1.17969	   1.17932	   1
EUR/USD		20150109 1	1.17954	  1.18114       1.18052      1.17949	1.1811	   1.18047	   1
EUR/USD		20150109 2	1.18002	  1.18093       1.18048      1.17997	1.1809	   1.18044	   -1
EUR/USD		20150109 3	1.18015	  1.18083       1.18045      1.18009	1.18078	   1.18040	   -1
EUR/USD		20150109 4	1.18037	  1.18132       1.18085      1.18031	1.18126	   1.18080	   1
EUR/USD		20150109 5	1.18064	  1.18153       1.18106      1.18056	1.18148	   1.18101	   1
EUR/USD		20150109 6	1.17935	  1.18119       1.18029      1.17923	1.18115	   1.18024	   -1
EUR/USD		20150109 7	1.17853	  1.17998       1.17925      1.17848	1.17993	   1.17920	   -1
EUR/USD		20150109 8	1.17925	  1.18086       1.18030      1.1792	1.18082	   1.18026	   1
EUR/USD		20150109 9	1.17981	  1.18204       1.18104      1.17977	1.18203	   1.18100	   1
EUR/USD		20150109 10	1.18061	  1.18201       1.18143      1.18058	1.18197	   1.18139	   1
EUR/USD		20150109 11	1.18084	  1.18202       1.18142      1.18081	1.18199	   1.18138	   -1
EUR/USD		20150109 12	1.18093	  1.18183       1.18144      1.1809	1.1818	   1.18140	   1
EUR/USD		20150109 13	1.17625	  1.1833       1.17932      1.17622	1.18322	   1.17925	   -1
EUR/USD		20150109 14	1.1773	  1.17971       1.17832      1.17726	1.17967	   1.17828	   -1
EUR/USD		20150109 15	1.17838	  1.18386       1.18175      1.17833	1.18379	   1.18169	   1
EUR/USD		20150109 16	1.1823	  1.18451       1.18352      1.18224	1.18448	   1.18348	   1
EUR/USD		20150109 17	1.1829	  1.18443       1.18354      1.18285	1.18438	   1.18350	   1
EUR/USD		20150109 18	1.18311	  1.18434       1.18392      1.18298	1.18428	   1.18386	   1
EUR/USD		20150109 19	1.18317	  1.18466       1.18370      1.1831	1.18457	   1.18365	   -1
EUR/USD		20150109 20	1.18344	  1.18439       1.18411      1.18342	1.18436	   1.18408	   1
EUR/USD		20150109 21	1.18324	  1.18466       1.18404      1.18277	1.18443	   1.18395	   -1
EUR/USD		20150112 22	1.1852	  1.1939       1.18813      1.17454	1.18318	   1.18026	   -1
